id,name,slug,parent_id,depth,priority,max_weight,frozen,rate,has_ingredients_book
100506,Cozze e vongole,2-sdm-cozze,44,1,45,0,0,,0
100508,Vongole,2-sdm-vongole,44,1,44,0,0,,0
100510,Altri molluschi,2-sdm-altri-molluschi,44,1,43,0,0,,0
100512,Gamberi e scampi,2-sdm-gamberi-scampi,45,1,42,0,0,,0
100514,Aragoste e astice,2-sdm-aragoste-astice,45,1,41,0,0,,0
100516,Granchio,2-sdm-granchio,45,1,40,0,0,,0
100518,Affumicati,2-sdm-affumicati,46,1,39,0,0,,0
100520,Marinati,2-sdm-marinati,46,1,38,0,0,,0
100522,Carpacci,2-sdm-carpacci,46,1,37,0,0,,0
100524,Tonno,2-sdm-tonno,47,1,36,0,0,,0
100526,Sgombri e sardine,2-sdm-sgombri-sardine,47,1,35,0,0,,0
100528,Altro pesce sott'olio,2-sdm-altro-pesce-sottolio,47,1,34,0,0,,0
100530,Bottarga,2-sdm-bottarga,47,1,33,0,0,,0
100532,Antipasti,2-sdm-antipasti,48,1,32,0,0,,0
100534,Primi piatti,2-sdm-primi-piatti,48,1,31,0,0,,0
100536,Secondi piatti,2-sdm-secondi-piatti,48,1,30,0,0,,0
100538,Specialità etniche,2-sdm-specialita-etniche,48,1,29,0,0,,0
100540,Verdure e vegetali,2-sdm-verdure-vegetali,49,1,28,0,0,,0
100542,Aromi surgelati,2-sdm-aromi-surgelati,49,1,27,0,0,,0
100544,Pane,2-sdm-pane-pastasfoglia,50,1,26,0,0,,0
100546,Pizza,2-sdm-pizza,50,1,25,0,0,,0
100548,Dolci e brioches,2-sdm-dolci-brioches,50,1,24,0,0,,0
100550,Torte e dessert,2-sdm-torte-dessert,51,1,23,0,0,,0
100552,Vaschette,2-sdm-vaschette,51,1,22,0,0,,0
100554,Sorbetti e ghiaccioli,2-sdm-sorbetti-ghiaccioli,51,1,21,0,0,,0
100556,Coni e stecchi,2-sdm-coni-stecchi,51,1,20,0,0,,0
100558,Pasta all'uovo,2-sdm-pasta-uovo,52,1,19,0,0,,0
100560,Pasta di semola,2-sdm-pasta-semola,52,1,18,0,0,,0
100562,Pasta ripiena e gnocchi,2-sdm-pasta-ripiena,52,1,17,0,0,,0
100564,Riso,2-sdm-riso,52,1,16,0,0,,0
100566,Legumi e cereali secchi,2-sdm-legumi-cereali,53,1,15,0,0,,0
100568,Farina e sostitutivi,2-sdm-farina-sostitutivi,53,1,14,0,0,,0
100570,Sughi pronti,2-sdm-sughi-pronti,54,1,13,0,0,,0
100572,Passata e Concentrato,2-sdm-passata-concentrato,54,1,12,0,0,,0
100574,Salse e paté,2-sdm-salse-pate,54,1,11,0,0,,0
100576,Olio e aceto,2-sdm-olio-aceto,55,1,10,0,0,,0
100578,Sale,2-sdm-sale,55,1,9,0,0,,0
100580,Spezie e aromi,2-sdm-spezie-aromi,55,1,8,0,0,,0
100582,Brodi e insaporitori,2-sdm-brodi-insaporitori,55,1,7,0,0,,0
100584,Sottoli e sottaceti,2-sdm-sottoli-sottaceti,55,1,6,0,0,,0
100586,Bianchi,2-sdm-bianchi,56,1,5,0,0,,0
100588,Rossi,2-sdm-rossi,56,1,4,0,0,,0
100590,Bollicine,2-sdm-bollicine,56,1,3,0,0,,0
100592,Liquori,2-sdm-liquori,56,1,2,0,0,,0
100594,Birra,2-sdm-birra,56,1,1,0,0,,0
100595,Formaggi,2-alt-formaggi,57,1,4,0,0,,0
100596,Latte e latticini,2-alt-latte-latticini,57,1,3,0,0,,0
100597,Dessert e budini,2-alt-dessert-budini,57,1,2,0,0,,0
100598,Salumi,2-alt-salumi,57,1,1,0,0,,0
